"event_type","Run.Value","N"
"",-0.444186832443681,542
"balk",0.31665448346114,116
"caught stealing",-0.548622321940148,319
"double",0.913987407477258,1610
"error",0.516623940001668,1089
"fielder's choice",-0.346549331420007,1035
"generic out",-0.364640584149534,14391
"hit by pitch",0.42038927473376,1023
"home run",1.45766991486733,304
"interference",0.334272444027862,6
"other advance",0.273041019420264,57
"passed ball",0.275570517255232,263
"pickoff",-0.621428260504029,192
"pickoff error",0.438035402645442,69
"single",0.542253094926753,6337
"stolen base",0.24217804610313,1031
"strikeout",-0.387153083257188,5763
"triple",1.21623908729283,253
"unknown event",0.356604726632354,19
"walk",0.389666947687809,3135
"wild pitch",0.299827739490887,831
